,0,1,2
14,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L10 ( 0.00- 2.00 s).wav,53,"[-5.21558189 -2.93429565  6.8660984   5.10205412  1.36298311 -3.13399911
  8.42574501  1.84933281  2.43393421 -0.33832824 -1.63541734 -2.88356948
  0.44016847 -3.10049248 -6.98764515 -1.45603132 -2.01501703  2.35147095
 -5.33422613 -1.38204598 -3.21548128  1.05097008  0.10927228 -4.94075394
 -1.69621515 -2.19039941 -2.98560977  3.7741766   4.17727995 -2.84364939
 -5.59593105  1.10443401 -3.74884629  3.64699316 -1.84688413 -2.50352812
 -2.30953908  2.08630753 -4.1260519  -2.77450681  1.05603576 -0.82585156
  3.28362823 -5.24571514 -1.09308088 -4.4890523   5.40390635 -3.38456774
 -0.56978047 -6.99079895  4.47279835  0.53448135  9.44010353 16.85057068
 -2.38756633 -3.16068077  1.52101803 -1.44784141 -3.78594232  6.52177477]"
15,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R1 ( 0.00- 2.00 s).wav,53,"[-4.3252387  -3.44225121  8.44892693  5.52833605  3.35855556 -0.94443178
  6.18758965  3.67295694  1.04933465 -1.26637948 -1.84517682 -3.12566781
 -0.28539434 -4.30246544 -6.12575531 -2.3642869  -1.71003723  2.91678452
 -4.07641983 -2.15735292 -2.77954125  2.26927471  0.53935307 -3.59097886
 -3.50657892 -3.66179776 -2.82312393  4.54852962  3.4109807  -1.48720396
 -5.00059271  0.85233694 -5.11248827  1.73524451 -1.4257226  -1.79522049
 -2.22856975  0.65126026 -5.42542934 -2.54016137  1.90670145 -0.40163693
  2.61712956 -4.52619362  0.93870759 -4.41201544  4.6652894  -4.63434553
 -0.80383843 -8.19738293  4.22693253 -0.12157732  8.31056309 16.78558159
 -3.2864933  -2.22816682  4.41735315 -1.20192552 -3.52104664  4.90672064]"
16,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L5 ( 0.00- 2.00 s).wav,53,"[-5.57323742 -3.64102793  8.34686947  5.0496912   1.29455519 -0.94612592
  7.64488602  2.60062504  1.90566421 -1.026456   -2.95637345 -3.62755227
  1.72055387 -4.07078552 -8.01034451 -1.25196457 -1.22713196  1.72698116
 -5.72252703 -2.05407119 -3.4503057   1.99316621 -0.08279974 -6.1354351
 -2.27201247 -3.07531857 -4.0819602   4.8012929   2.84538579 -2.80455375
 -6.2830801   1.95431507 -4.15772438  4.24485064 -1.02642107 -3.16987586
 -1.78785801  2.63972545 -5.8788147  -4.60973167  0.73951989 -1.26886702
  3.65318871 -5.75648642 -0.17458497 -4.61158466  6.08332443 -4.21211147
 -0.27287191 -8.87875938  5.84722662 -0.44638216 11.74590397 20.48796082
 -3.58002543 -3.2896595   2.91899562 -2.44622564 -4.56469297  6.34857941]"
17,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R9 ( 0.00- 2.00 s).wav,53,"[-5.13448238 -2.59020805  8.24043274  4.06066895  0.99991924 -0.6254006
  6.07215166  4.54683065  1.21754825 -2.69036102 -4.18281746 -3.10399032
  1.93607283 -3.41664028 -6.30072737 -2.79954934 -2.61471963 -0.59548664
 -5.15032053 -1.47544301 -1.62684906  2.65478826  1.26571834 -5.78021383
 -0.22510475 -4.16121244 -0.35357866  8.66647911  3.90481949 -3.95686984
 -5.61934423  5.28547668 -3.80239511  3.71092749 -3.11431551 -3.25042057
 -2.14154077 -0.91734535 -5.17262268 -3.43127489  1.2740792  -0.054045
  5.0654726  -4.3274703  -2.48206234 -4.61920738  3.41030216 -3.01373291
 -0.0348616  -8.88943481  5.63028288 -0.94569862 10.77889252 18.62047005
 -4.30639362 -2.50648379  0.71892315 -5.35797119 -3.55611825  3.40391135]"
18,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R2 ( 0.00- 2.00 s).wav,53,"[-4.07376909 -3.66170073  7.28999281  3.59155273  1.83755744  1.51220536
  4.25015068  2.00149751  0.78856146 -0.99478877 -2.320328   -2.27857018
  1.6017338  -3.58718944 -5.31964302 -1.82960403 -0.0221069   2.53298831
 -3.59671879 -1.92101479 -1.40768039  1.43869877 -0.58693248 -3.12443924
 -2.35518885 -3.10911822 -3.53968406  3.25339198  1.44671524 -1.24665177
 -4.61308336  1.10162878 -3.60474563  1.47648633 -0.22303994 -1.79630518
 -1.80377388  2.38463664 -5.3197341  -2.39870191  0.51585698 -1.02692533
  1.43313384 -3.67132187  2.59148502 -2.39505482  3.76203346 -3.6838994
 -1.02913606 -6.76708364  2.32327557 -0.38072652  7.21896315 13.62257004
 -3.6019752  -1.67942894  4.21706104 -0.80566752 -3.50193238  4.70027542]"
19,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R8 ( 0.00- 2.00 s).wav,53,"[-6.62518549e+00 -2.90028048e+00  9.86089706e+00  4.79076290e+00
  3.54580784e+00  3.91816169e-01  3.97251558e+00  2.39939165e+00
  1.75174749e+00 -6.96936488e-01 -5.22395992e+00 -5.96727800e+00
  2.31943130e+00 -5.64700937e+00 -7.48154926e+00 -1.06551003e+00
 -3.35454434e-01  2.42838097e+00 -6.30390930e+00 -4.45925665e+00
 -1.63651490e+00  2.05380097e-03  1.78385639e+00 -5.40757751e+00
 -4.68046713e+00 -2.64589334e+00 -4.95598841e+00  3.32310915e+00
  3.14042115e+00 -3.51185751e+00 -7.17281342e+00  3.20987606e+00
 -3.75244999e+00  4.30927277e+00  1.04568577e+00 -2.20516253e+00
 -1.18922329e+00  2.02079082e+00 -4.35526133e+00 -5.73757744e+00
  1.40392876e+00 -2.10687709e+00  1.22462475e+00 -4.78641558e+00
 -1.42488444e+00 -5.01592398e+00  5.00424004e+00 -3.31136250e+00
 -1.15742350e+00 -9.07549477e+00  6.95121956e+00 -8.38982686e-02
  1.27330351e+01  2.01479053e+01 -5.02496433e+00 -3.57047772e+00
  5.72170639e+00 -9.45743144e-01 -3.24936461e+00  6.92886734e+00]"
20,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L13 ( 0.00- 2.00 s).wav,53,"[-4.91240597 -3.28382707  7.8005228   4.49320173  2.40987825  0.26282501
  5.36298084  2.01540709  1.39830911 -0.9744221  -2.52184677 -4.06497574
  0.42573413 -4.13583326 -6.37693596 -1.76233149 -1.2062254   3.40436435
 -4.41998434 -2.8021636  -1.3621484   0.19065177  1.16062534 -4.14300346
 -3.73543358 -2.88012886 -3.19311666  4.40929985  3.79984236 -2.11024833
 -5.92601299  1.66425085 -3.25273228  2.20919895 -0.15293552 -0.77660298
 -1.67080641  2.34425235 -4.28250265 -3.40203595  1.05080831 -1.7188288
  0.85668588 -4.73990726  0.84873575 -3.35760355  3.21017337 -3.6652
 -1.6959914  -6.45252943  3.51876235  0.6044839   9.92199516 15.60624218
 -3.16987944 -3.10722876  4.33696461 -0.52169138 -3.54481578  4.90322733]"
21,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R14 ( 0.00- 2.00 s).wav,53,"[-6.23797989 -3.64589834  9.40888977  4.59139919  1.06022608  0.06079336
  6.59114599  1.4597677   2.16703129 -0.22051814 -4.39478874 -3.22558522
  3.99500871 -3.80994368 -8.13080502 -1.30828786 -0.37295651  1.33192623
 -6.16370487 -2.31482697 -2.02462745  1.34233332 -0.39944687 -6.38109684
 -1.26661289 -2.82411885 -4.96217537  3.88859725  1.45292318 -3.67396545
 -7.13372087  3.12837148 -3.74030805  4.43381071 -0.30326656 -3.67665792
 -1.55619478  3.82055187 -5.32885265 -4.7287569   0.40882462 -1.99415457
  2.5393734  -5.19634438  0.12153818 -3.68410611  4.99923325 -2.89514136
  0.08582041 -8.61826229  5.57435799 -0.6152429  11.35958767 19.91599083
 -4.46768761 -3.22473049  2.91412902 -2.3115325  -4.3195076   7.88057423]"
22,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L3 ( 0.00- 2.00 s).wav,53,"[-5.58750582 -3.19746447  9.35625267  3.77781558  1.74838948  0.28509647
  6.67411232  2.43508315  1.41408908 -1.39904284 -3.36946726 -3.30249882
  1.5009762  -3.827281   -7.20645714 -2.55313635 -1.62935042  1.45410764
 -5.06807089 -2.20718002 -0.15301518  1.03313339  1.83408046 -5.18068647
 -1.98361886 -4.36225843 -1.83229601  7.68517828  3.723804   -3.3110745
 -6.31173992  4.08887196 -3.19541311  2.96825576 -2.57961583 -1.22241366
 -2.42213106  1.18077314 -4.89787674 -4.00810957  0.72195059 -1.43019366
  2.36661553 -4.82953787  0.21919186 -4.15815306  2.75685263 -3.46923208
 -1.08863246 -8.09055805  3.92006063 -0.60568863 10.18301201 17.41396904
 -3.7334106  -2.84299827  2.17858171 -3.43857312 -3.10635304  4.4968729 ]"
23,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L2 ( 0.00- 2.00 s).wav,53,"[-5.06909847 -3.18873692  7.75414562  3.43644714  0.97449201 -0.34626889
  6.79497147  2.5188477   1.39928329 -1.76425338 -2.80141544 -2.71147466
  1.54959476 -3.26239228 -6.89923048 -2.1577189  -1.73991656  1.64699566
 -4.82428885 -1.66645956 -1.47655106  1.3753767   1.05195498 -5.10705566
 -1.41066146 -3.64059234 -2.08358049  6.80218744  3.9301877  -3.2284658
 -5.78381014  3.50526881 -3.17890739  3.26438093 -2.52884197 -1.99362528
 -2.24740005  1.51948619 -4.84134483 -3.49484134  0.19216999 -1.1025691
  3.19383049 -5.11407328 -0.01959981 -4.03482199  3.76483107 -3.44793749
 -0.89747971 -7.72737789  4.20496368 -0.6359753  10.28505516 16.87937737
 -3.41410923 -2.8154614   1.497967   -3.38836598 -3.60796475  4.50284433]"
24,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L6 ( 0.00- 2.00 s).wav,53,"[-5.28658485 -3.40030527  6.23575592  3.54711604 -0.30833769 -2.05008388
  7.86195469  2.78162408  1.95296383 -2.1836617  -2.61407065 -2.33473015
  1.85097933 -2.39067435 -6.85217762 -1.76653039 -1.77345765  1.41765988
 -5.69434929 -0.64792371 -4.03609371  2.0280807  -0.30903053 -5.76293421
  0.02675901 -2.37780786 -2.69108415  5.61078072  3.96825123 -3.6876955
 -5.55934954  2.46858072 -3.53128481  5.13798141 -2.87735796 -4.09682655
 -2.01988864  1.75579572 -5.14281178 -3.40774798 -0.07697809 -0.39436108
  5.5064106  -5.64678574 -1.23391247 -4.58395529  6.59506226 -3.35105968
 -0.27339685 -8.36735535  5.45323944 -0.93951178 11.14782619 18.67413521
 -3.57171702 -2.97019029  0.39619756 -3.82539678 -4.27439117  5.33856583]"
25,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R4 ( 0.00- 2.00 s).wav,53,"[-5.03554487 -3.15589666  9.25255203  4.4063096   2.67351031  2.2574749
  3.78873658  3.0863409   1.26183355 -1.66424859 -4.65038204 -4.42664862
  1.69272709 -5.41991138 -6.67711544 -1.68497908 -0.78918451  1.18721938
 -4.53341103 -3.2668004  -1.41291058  1.57794678  1.17506063 -4.82656002
 -3.89852023 -3.94076848 -3.762501    5.00623322  1.96030319 -2.07356715
 -5.51615524  2.71431684 -3.88626647  3.0863328   0.19700171 -2.03874135
 -1.59974217  1.08322465 -5.92171144 -5.04448843  1.48337865 -1.16584158
  1.79792869 -4.03050804  1.02285206 -4.23383141  3.77987695 -4.17612028
 -0.94900048 -9.05121994  5.17497587 -0.21808691 10.6082859  18.28138924
 -4.62376928 -2.21216512  5.42821121 -2.28705144 -3.21615958  4.41692495]"
26,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L14 ( 0.00- 2.00 s).wav,53,"[-3.90098667 -3.38499355  7.95757771  5.4362855   2.2297523   0.5051232
  6.30875683  3.05845523  1.01497495 -1.49133813 -1.9551723  -3.47409105
 -0.78915644 -4.35141468 -6.48310041 -1.92632949 -1.73301733  2.31129098
 -3.57445765 -2.17162943 -2.11759019  1.93598795  0.46746963 -3.95854044
 -3.7864902  -3.82519865 -3.07506275  5.5080514   2.53104353 -0.78679866
 -4.87276888  0.42334774 -4.4448657   1.29716134 -0.64818901 -0.59472781
 -1.70327902  1.33860636 -6.03016233 -3.29755902  1.57551682 -1.12420833
  1.74423218 -4.46779966  1.99593222 -3.5848856   3.48927021 -4.81193733
 -1.11119068 -7.04457855  3.22846675  0.75064701  8.2147007  16.43291473
 -2.76255059 -2.24229074  4.51534891 -1.2145102  -3.94513011  3.87197042]"
